DO;PRODUIT; HT ; TAX ; TTC ;TYPE_VENTE;CHANNEL
Ain_Temouchent;FTTx;332 429,65; -   ;332 429,65;recharge via eSpace Client;eSpace Client
Ain_Temouchent;FTTx;118,8; -   ;118,8;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Ain_Temouchent;FTTx;418 338,15; -   ;418 338,15;Rechargement via espace Actel;ActelEspace
Ain_Temouchent;FTTx;18 780,00; -   ;18 780,00;Ventes et Recharges FTTX;9
Ain_Temouchent;LTE;1 068,38;202,99;1 271,37;Modem;9
Ain_Temouchent;LTE;1 561,11;296,62;1 857,73;Prestation de services LTE 4G;9
Ain_Temouchent;LTE;347 795,00; -   ;347 795,00;Recharge via Carte Credit& Application;ATPOST
Ain_Temouchent;LTE;207 545,00; -   ;207 545,00;recharge via eSpace Client;eSpace Client
Ain_Temouchent;LTE;698 810,00; -   ;698 810,00;Rechargement via espace Actel;ActelEspace
Ain_Temouchent;LTE;2 179 619,75; -   ;2 179 619,75;Recharges 4G;9
Ain_Temouchent;LTE;577 475,23; -   ;577 475,23;Ventes et Recharges LTE 4G;9
Ain_Temouchent;Modem;1 789,92;340,08;2 130,00;Modem;9
Ain_Temouchent;PSTN;18 939,94;3 596,76;22 536,70;Divers;9
Ain_Temouchent;PSTN;60 827,18;11 557,25;72 384,43;Prestation de services PSTN;9
Ain_Temouchent;VOIP;8 282,58;1 573,72;9 856,30;Prestation de services VOIP;9
Alger_Centre;ADSL;5 079 558,75; -   ;5 079 558,75;Recharge ADSL;9
Alger_Centre;ADSL;28 466 663,43; -   ;28 466 663,43;recharge via agence;Agence
Alger_Centre;ADSL;4 495 988,96; -   ;4 495 988,96;Recharge via Carte Credit& Application;ATPOST
Alger_Centre;ADSL;3 612 557,35; -   ;3 612 557,35;recharge via eSpace Client;eSpace Client
Alger_Centre;ADSL;748,9; -   ;748,9;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Centre;ADSL;185 745,45; -   ;185 745,45;Rechargement via espace Actel;ActelEspace
Alger_Centre;ADSL;27 241 690,25;2 359,80;27 244 050,05;Ventes et recharges ADSL;9
Alger_Centre;Divers;11 850,00;2 251,50;14 101,50;ventes accessoires;9
Alger_Centre;DV;984 657,50; -   ;984 657,50;Divers;9
Alger_Centre;FTTx;383 182,70;72 804,80;455 987,50;Modem;9
Alger_Centre;FTTx;34 048,74;6 469,26;40 518,00;Prestation de services FTTX;9
Alger_Centre;FTTx;21 092,44;4 007,56;25 100,00;Prestation de services FTTx;9
Alger_Centre;FTTx;39 455 615,51; -   ;39 455 615,51;recharge via agence;Agence
Alger_Centre;FTTx;7 412 787,59; -   ;7 412 787,59;Recharge via Carte Credit& Application;ATPOST
Alger_Centre;FTTx;6 075 381,80; -   ;6 075 381,80;recharge via eSpace Client;eSpace Client
Alger_Centre;FTTx;1 765,00; -   ;1 765,00;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Centre;FTTx;234 693,20; -   ;234 693,20;Rechargement via espace Actel;ActelEspace
Alger_Centre;FTTx;270 586,54;113,36;270 699,90;Ventes et Recharges FTTX;9
Alger_Centre;LTE;534,19;101,5;635,68;Modem;9
Alger_Centre;LTE;1 217,73;231,38;1 449,11;Prestation de services LTE 4G;9
Alger_Centre;LTE;302 760,00; -   ;302 760,00;Recharge via Carte Credit& Application;ATPOST
Alger_Centre;LTE;332 920,00; -   ;332 920,00;recharge via eSpace Client;eSpace Client
Alger_Centre;LTE;420 655,00; -   ;420 655,00;Rechargement via espace Actel;ActelEspace
Alger_Centre;LTE;2 440 389,25; -   ;2 440 389,25;Recharges 4G;9
Alger_Centre;LTE;1 242 142,60; -   ;1 242 142,60;Ventes et Recharges LTE 4G;9
Alger_Centre;Mini projecteur SPRO2;3 200,85;608,16;3 809,02;Divers;9
Alger_Centre;Modem;218 165,12;41 451,43;259 616,55;Modem;9
Alger_Centre;PSTN;42 368,43;8 050,17;50 418,60;Divers;9
Alger_Centre;PSTN;125 597,54;23 863,53;149 461,07;Prestation de services PSTN;9
Alger_Centre;VOIP;121 610,97;23 106,22;144 717,19;Prestation de services VOIP;9
Alger_Est;ADSL;3 213 145,00; -   ;3 213 145,00;Recharge ADSL;9
Alger_Est;ADSL;58 867 801,15; -   ;58 867 801,15;recharge via agence;Agence
Alger_Est;ADSL;11 343 922,39; -   ;11 343 922,39;Recharge via Carte Credit& Application;ATPOST
Alger_Est;ADSL;6 791 434,30; -   ;6 791 434,30;recharge via eSpace Client;eSpace Client
Alger_Est;ADSL;984,9; -   ;984,9;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Est;ADSL;365 506,95; -   ;365 506,95;Rechargement via espace Actel;ActelEspace
Alger_Est;ADSL;33 313 661,16;5 546,91;33 319 208,07;Ventes et recharges ADSL;9
Alger_Est;Divers;25 675,00;4 878,25;30 553,25;ventes accessoires;9
Alger_Est;DV;1 621 861,00; -   ;1 621 861,00;Divers;9
Alger_Est;FTTx;251 621,83;47 694,85;299 316,68;Modem;9
Alger_Est;FTTx;45 443,91;8 634,34;54 078,25;Prestation de services FTTX;9
Alger_Est;FTTx;14 700,00;2 793,00;17 493,00;Prestation de services FTTx;9
Alger_Est;FTTx;51 102 500,78; -   ;51 102 500,78;recharge via agence;Agence
Alger_Est;FTTx;11 452 081,88; -   ;11 452 081,88;Recharge via Carte Credit& Application;ATPOST
Alger_Est;FTTx;7 440 793,25; -   ;7 440 793,25;recharge via eSpace Client;eSpace Client
Alger_Est;FTTx;499,75; -   ;499,75;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Est;FTTx;274 975,85; -   ;274 975,85;Rechargement via espace Actel;ActelEspace
Alger_Est;FTTx;270 424,85; -   ;270 424,85;Ventes et Recharges FTTX;9
Alger_Est;LTE;1 068,38;202,99;1 271,37;Modem;9
Alger_Est;LTE;1 748,29;332,19;2 080,48;Prestation de services LTE 4G;9
Alger_Est;LTE;894 822,50; -   ;894 822,50;Recharge via Carte Credit& Application;ATPOST
Alger_Est;LTE;711 475,00; -   ;711 475,00;recharge via eSpace Client;eSpace Client
Alger_Est;LTE;5; -   ;5;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Est;LTE;800 320,00; -   ;800 320,00;Rechargement via espace Actel;ActelEspace
Alger_Est;LTE;4 890 247,88; -   ;4 890 247,88;Recharges 4G;9
Alger_Est;LTE;2 019 022,23; -   ;2 019 022,23;Ventes et Recharges LTE 4G;9
Alger_Est;Modem;104 010,45;19 762,01;123 772,46;Modem;9
Alger_Est;PSTN;102 861,09;19 535,87;122 396,96;Divers;9
Alger_Est;PSTN;114 068,26;21 615,94;135 684,20;Prestation de services PSTN;9
Alger_Est;VOIP;99 914,35;18 959,15;118 873,50;Prestation de services VOIP;9
Alger_Ouest;ADSL;27 320 047,25; -   ;27 320 047,25;Recharge ADSL;9
Alger_Ouest;ADSL;51 620 674,40; -   ;51 620 674,40;recharge via agence;Agence
Alger_Ouest;ADSL;9 030 690,65; -   ;9 030 690,65;Recharge via Carte Credit& Application;ATPOST
Alger_Ouest;ADSL;7 051 659,60; -   ;7 051 659,60;recharge via eSpace Client;eSpace Client
Alger_Ouest;ADSL;12,5; -   ;12,5;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Ouest;ADSL;339 141,20; -   ;339 141,20;Rechargement via espace Actel;ActelEspace
Alger_Ouest;ADSL;43 024 886,00;1 543,75;43 026 429,75;Ventes et recharges ADSL;9
Alger_Ouest;Divers;11 675,00;2 218,25;13 893,25;ventes accessoires;9
Alger_Ouest;DV;1 896 221,25; -   ;1 896 221,25;Divers;9
Alger_Ouest;FTTx;814 997,74;154 849,76;969 847,50;Modem;9
Alger_Ouest;FTTx;49 610,09;9 425,91;59 036,00;Prestation de services FTTX;9
Alger_Ouest;FTTx;27 480,00;5 221,20;32 701,20;Prestation de services FTTx;9
Alger_Ouest;FTTx;68 106 500,19; -   ;68 106 500,19;recharge via agence;Agence
Alger_Ouest;FTTx;15 447 612,31; -   ;15 447 612,31;Recharge via Carte Credit& Application;ATPOST
Alger_Ouest;FTTx;12 467 833,20; -   ;12 467 833,20;recharge via eSpace Client;eSpace Client
Alger_Ouest;FTTx;355,3; -   ;355,3;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Ouest;FTTx;389 289,40; -   ;389 289,40;Rechargement via espace Actel;ActelEspace
Alger_Ouest;FTTx;761 380,00; -   ;761 380,00;Ventes et Recharges FTTX;9
Alger_Ouest;LTE;1 068,38;202,99;1 271,37;Modem;9
Alger_Ouest;LTE;2 604,49;494,87;3 099,36;Prestation de services LTE 4G;9
Alger_Ouest;LTE;746 540,00; -   ;746 540,00;Recharge via Carte Credit& Application;ATPOST
Alger_Ouest;LTE;717 295,00; -   ;717 295,00;recharge via eSpace Client;eSpace Client
Alger_Ouest;LTE;50; -   ;50;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Alger_Ouest;LTE;966 560,00; -   ;966 560,00;Rechargement via espace Actel;ActelEspace
Alger_Ouest;LTE;22 529 113,38; -   ;22 529 113,38;Recharges 4G;9
Alger_Ouest;LTE;2 875 610,45; -   ;2 875 610,45;Ventes et Recharges LTE 4G;9
Alger_Ouest;Mini projecteur SPRO2;3 200,85;608,16;3 809,02;Divers;9
Alger_Ouest;Modem;194 537,77;36 962,23;231 500,00;Modem;9
Alger_Ouest;PSTN;90 425,41;17 181,19;107 606,60;Divers;9
Alger_Ouest;PSTN;302 800,19;57 511,15;360 311,34;Prestation de services PSTN;9
Alger_Ouest;VOIP;176 100,80;32 277,78;208 378,58;Prestation de services VOIP;9
Annaba;ADSL;2 892 747,50; -   ;2 892 747,50;Recharge ADSL;9
Annaba;ADSL;22 324 559,78; -   ;22 324 559,78;recharge via agence;Agence
Annaba;ADSL;4 168 491,00; -   ;4 168 491,00;Recharge via Carte Credit& Application;ATPOST
Annaba;ADSL;2 598 727,15; -   ;2 598 727,15;recharge via eSpace Client;eSpace Client
Annaba;ADSL;2 116 209,40; -   ;2 116 209,40;Rechargement via espace Actel;ActelEspace
Annaba;ADSL;11 076 936,13;1 012,70;11 077 948,83;Ventes et recharges ADSL;9
Annaba;CHARGEUR MODEM ADSL;63,03;11,97;75;Modem;9
Annaba;Divers;200;38;238;ventes accessoires;9
Annaba;DV;544 353,00; -   ;544 353,00;Divers;9
Annaba;FTTx;3 544,54;673,46;4 218,00;Prestation de services FTTX;9
Annaba;FTTx;1 600,00;304;1 904,00;Prestation de services FTTx;9
Annaba;FTTx;7 961 002,48; -   ;7 961 002,48;recharge via agence;Agence
Annaba;FTTx;1 951 773,38; -   ;1 951 773,38;Recharge via Carte Credit& Application;ATPOST
Annaba;FTTx;1 411 739,90; -   ;1 411 739,90;recharge via eSpace Client;eSpace Client
Annaba;FTTx;939 850,45; -   ;939 850,45;Rechargement via espace Actel;ActelEspace
Annaba;FTTx;215; -   ;215;Ventes et Recharges FTTX;9
Annaba;LTE;534,19;101,5;635,68;Modem;9
Annaba;LTE;1 941,02;368,81;2 309,83;Prestation de services LTE 4G;9
Annaba;LTE;804 545,00; -   ;804 545,00;Recharge via Carte Credit& Application;ATPOST
Annaba;LTE;398 805,00; -   ;398 805,00;recharge via eSpace Client;eSpace Client
Annaba;LTE;283 795,00; -   ;283 795,00;Rechargement via espace Actel;ActelEspace
Annaba;LTE;4 971 569,00; -   ;4 971 569,00;Recharges 4G;9
Annaba;LTE;1 039 339,75; -   ;1 039 339,75;Ventes et Recharges LTE 4G;9
Annaba;Modem;9 651,26;1 833,74;11 485,00;Modem;9
Annaba;PSTN;33 334,18;6 331,72;39 665,90;Divers;9
Annaba;PSTN;44 703,76;8 493,74;53 197,50;Prestation de services PSTN;9
Annaba;VOIP;7 271,14;1 381,54;8 652,68;Prestation de services VOIP;9
Batna;ADSL;10 743 320,00; -   ;10 743 320,00;Recharge ADSL;9
Batna;ADSL;34 266 064,90; -   ;34 266 064,90;recharge via agence;Agence
Batna;ADSL;8 316 385,73; -   ;8 316 385,73;Recharge via Carte Credit& Application;ATPOST
Batna;ADSL;3 008 910,45; -   ;3 008 910,45;recharge via eSpace Client;eSpace Client
Batna;ADSL;1 034 644,15; -   ;1 034 644,15;Rechargement via espace Actel;ActelEspace
Batna;ADSL;17 315 467,88;1 520,95;17 316 988,83;Ventes et recharges ADSL;9
Batna;Divers;1 675,00;318,25;1 993,25;ventes accessoires;9
Batna;DV;817 098,25; -   ;817 098,25;Divers;9
Batna;FTTx;2 829,41;537,59;3 367,00;Prestation de services FTTX;9
Batna;FTTx;1 225,00;232,75;1 457,75;Prestation de services FTTx;9
Batna;FTTx;8 410 717,60; -   ;8 410 717,60;recharge via agence;Agence
Batna;FTTx;2 847 255,45; -   ;2 847 255,45;Recharge via Carte Credit& Application;ATPOST
Batna;FTTx;1 190 165,30; -   ;1 190 165,30;recharge via eSpace Client;eSpace Client
Batna;FTTx;159,5; -   ;159,5;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Batna;FTTx;334 712,25; -   ;334 712,25;Rechargement via espace Actel;ActelEspace
Batna;FTTx;365; -   ;365;Ventes et Recharges FTTX;9
Batna;LTE;2 854,91;540,83;3 395,74;Prestation de services LTE 4G;9
Batna;LTE;1 759 992,50; -   ;1 759 992,50;Recharge via Carte Credit& Application;ATPOST
Batna;LTE;525 362,50; -   ;525 362,50;recharge via eSpace Client;eSpace Client
Batna;LTE;739 857,50; -   ;739 857,50;Rechargement via espace Actel;ActelEspace
Batna;LTE;8 778 427,50; -   ;8 778 427,50;Recharges 4G;9
Batna;LTE;1 261 289,15; -   ;1 261 289,15;Ventes et Recharges LTE 4G;9
Batna;Modem;11 071,43;2 103,57;13 175,00;Modem;9
Batna;PSTN;56 478,39;10 729,21;67 207,60;Divers;9
Batna;PSTN;132 792,97;25 230,96;158 023,92;Prestation de services PSTN;9
Batna;VOIP;18 903,65;3 591,75;22 495,40;Prestation de services VOIP;9
Bechar;ADSL;1 823 100,00; -   ;1 823 100,00;Recharge ADSL;9
Bechar;ADSL;10 100 990,15; -   ;10 100 990,15;recharge via agence;Agence
Bechar;ADSL;1 955 801,83; -   ;1 955 801,83;Recharge via Carte Credit& Application;ATPOST
Bechar;ADSL;676 580,10; -   ;676 580,10;recharge via eSpace Client;eSpace Client
Bechar;ADSL;108 489,65; -   ;108 489,65;Rechargement via espace Actel;ActelEspace
Bechar;ADSL;877 452,50;1 140,00;878 592,50;Ventes et recharges ADSL;9
Bechar;Divers;4 093,28;777,72;4 871,00;ventes accessoires;9
Bechar;DV;301 239,50; -   ;301 239,50;Divers;9
Bechar;FTTx;48 583,95;9 230,96;57 814,90;Modem;9
Bechar;FTTx;5 602,94;1 064,56;6 667,50;Prestation de services FTTX;9
Bechar;FTTx;3 000,00;570;3 570,00;Prestation de services FTTx;9
Bechar;FTTx;4 052 206,80; -   ;4 052 206,80;recharge via agence;Agence
Bechar;FTTx;1 019 250,40; -   ;1 019 250,40;Recharge via Carte Credit& Application;ATPOST
Bechar;FTTx;372 185,35; -   ;372 185,35;recharge via eSpace Client;eSpace Client
Bechar;FTTx;47 615,55; -   ;47 615,55;Rechargement via espace Actel;ActelEspace
Bechar;FTTx;18 395,00; -   ;18 395,00;Ventes et Recharges FTTX;9
Bechar;LTE;534,19;101,5;635,68;Modem;9
Bechar;LTE;1 419,87;269,78;1 689,65;Prestation de services LTE 4G;9
Bechar;LTE;640 850,00; -   ;640 850,00;Recharge via Carte Credit& Application;ATPOST
Bechar;LTE;178 372,50; -   ;178 372,50;recharge via eSpace Client;eSpace Client
Bechar;LTE;385 405,00; -   ;385 405,00;Rechargement via espace Actel;ActelEspace
Bechar;LTE;1 975 834,00; -   ;1 975 834,00;Recharges 4G;9
Bechar;LTE;575 271,95; -   ;575 271,95;Ventes et Recharges LTE 4G;9
